Survey_ID,Lat,Long,Zip,City,County,Status,elevation,dist_to_spill,Q37_EDU,Q40_INCOME,Q1_Overall,Q2_a,Q2_b,Q2_c,Q2_d,Q2_e,Q2_f,Q2_g,Q2_h,Q2_i,Q2_j,Q2_k,Q3,Q4,Q10_a,Q10_b,Q10_c,Q10_d,Q10_e,Q11_a,Q11_b,Q11_c,Q11_d,Q11_e,Q11_f,Q11_g,Q11_h,Q11_i,Q11_j,Q11_k,Q12_a,Q12_b,Q12_c,Q12_d,Q12_e,Q13_a,Q13_b,Q13_c,Q13_d,Q13_e,Q13_f,Q13_g,Q14_a,Q14_b,Q14_c,Q14_d,Q14_e,Q14_f,Q14_g,Q14_h,Q14_i,Q15_a,Q15_b,Q15_c,Q16_a,Q16_b,Q16_c,Q16_d,Q16_e,Q16_f,Q16_g,Q16_h,Q16_i,Q16_j,Q16_k,Q16_l,Q16_m,Q16_n,Q16_o,Q16_p,Q17_a,Q17_b,Q17_c,Q17_d,Q17_e,Q17_f,Q17_g,Q17_h,Q17_i,Q17_j,Q17_k,Q19_a,Q19_b,Q19_c,Q19_d,Q19_e,Q19_f,Q19_g,Q19_h,Q19_i,Q20_a,Q20_b,Q20_c,Q20_d,Q20_e,Q21,Q22_a,Q22_b,Q22_c,Q22_d,Q22_e,Q22_f,Q23,Q24,Q25,Q26_a,Q26_b,Q26_c,Q26_d,Q26_e,Q26_f,Q26_g,Q26_h
375,38.49429321290,-81.46679687500,25801,Beckley,Raleigh,At_Risk,299,18527.8,7,3,4,4,2,3,2,3,2,5,2,1,4,5,4,3,1,3,1,5,2,4,4,3,3,4,2,4,4,4,1,2,2,4,5,2,4,4,5,2,2,5,4,2,4,3,5,4,2,4,5,5,3,2,2,2,4,2,4,1,4,5,2,4,4,3,4,4,4,4,2,4,2,3,1,3,4,2,1,4,,,0,4,2,2,4,3,2,4,4,2,4,3,4,2,4,2,2,4,3,3,2,1,3,4,4,4,4,4,4,3,2,4,3
376,37.81640625000,-81.23290252690,25801,Beckley,Raleigh,At_Risk,675,69537.1,6,2,5,2,3,4,2,2,4,5,3,1,2,5,3,3,5,1,4,4,2,2,2,4,4,1,4,2,2,5,5,5,2,2,1,0,2,5,5,5,5,2,2,1,1,3,4,3,2,4,1,4,5,2,2,2,3,3,2,3,4,4,3,4,3,4,2,3,3,3,3,3,5,4,4,4,4,3,1,4,,,0,4,2,3,4,4,4,4,4,2,1,5,2,4,1,2,5,5,5,5,5,3,3,2,3,1,1,1,1,1,1,1,0
377,37.86520385740,-81.19680023190,25810,Allen Junction,Wyoming,Distressed,722,66465.9,4,3,2,5,1,1,4,5,1,4,1,4,4,4,4,4,2,1,1,5,5,4,4,1,2,2,1,4,4,4,2,4,5,5,5,5,4,1,2,2,2,5,4,5,5,5,2,4,3,5,4,5,4,0,0,0,3,3,5,3,3,5,3,4,4,5,3,4,3,5,1,4,1,1,1,2,5,2,2,4,,,0,2,2,3,1,3,2,3,2,2,5,2,3,4,5,2,4,4,3,3,3,2,3,3,3,0,0,0,0,0,0,0,0
378,37.59650400000,-81.32093500000,25811,Amigo,Wyoming,Distressed,478,89315.8,5,1,2,3,1,2,3,3,2,5,1,4,5,5,4,2,5,1,3,3,3,5,5,1,1,1,1,3,5,4,2,5,4,4,5,1,3,1,3,1,2,3,5,5,4,4,4,5,2,5,3,3,2,2,1,3,3,3,2,1,3,1,5,4,2,4,3,2,5,5,1,3,2,1,1,2,3,3,1,1,1,1,3,1,3,1,3,5,1,3,2,1,4,2,3,1,4,3,3,3,3,2,1,1,5,3,4,4,4,4,4,4,4,4,3
380,38.13611000000,-81.09926000000,25812,Ansted,Fayette,Distressed,406,51397.8,3,2,4,4,2,4,2,2,2,4,3,2,3,4,5,4,2,2,2,5,5,4,4,2,2,4,2,3,4,4,1,1,4,4,4,4,4,2,3,3,2,4,3,4,4,4,4,4,4,4,4,4,4,1,1,1,4,2,4,2,4,4,2,4,2,3,4,4,4,4,4,2,3,3,3,3,4,3,2,4,,,0,2,4,1,2,4,3,4,4,3,4,2,4,3,5,2,4,2,2,2,2,1,1,2,4,2,1,1,1,1,1,1,1
381,37.75084400000,-81.13778300000,25813,Beaver,Raleigh,At_Risk,653,79991.4,7,5,2,5,1,1,1,2,1,3,1,5,5,3,4,4,3,5,1,2,2,3,5,1,1,1,1,5,4,3,3,1,5,5,5,5,5,1,3,1,1,4,5,5,5,5,5,5,5,5,4,5,4,2,2,1,3,1,5,1,1,5,1,5,1,1,5,3,1,1,5,3,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,2,5,1,5,1,5,2,5,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,3
382,37.81640625000,-81.23290252690,25813,Beaver,Raleigh,At_Risk,675,69537.1,3,3,2,4,4,2,4,4,1,2,2,3,3,3,4,3,1,5,1,4,4,4,4,2,3,5,2,4,4,2,1,2,2,2,4,1,3,1,1,1,1,4,4,5,5,4,5,5,3,5,3,5,4,0,0,2,4,4,5,2,2,5,2,4,4,1,4,3,4,4,4,3,1,1,1,2,4,1,1,5,,,0,1,4,4,3,2,1,2,3,3,5,1,5,1,5,2,5,3,2,2,3,2,4,4,4,5,5,5,5,5,4,2,5
383,37.85110473630,-80.44660186770,25813,Beaver,Raleigh,At_Risk,703,116838.4,6,2,2,2,2,4,2,2,2,5,4,2,2,5,4,3,1,3,3,4,4,4,4,2,2,2,2,4,4,2,1,2,4,4,5,1,5,5,4,2,4,5,2,1,4,5,5,5,2,5,4,5,4,1,2,1,4,2,5,1,1,1,1,1,1,1,5,4,5,1,5,4,1,4,4,4,5,4,1,5,,,0,1,4,4,2,4,2,4,4,4,4,2,5,4,5,1,5,5,5,5,4,4,3,4,4,0,0,0,0,0,0,0,0
384,37.74819700000,-81.13821200000,25813,Beaver,Raleigh,At_Risk,661,80224.4,8,3,3,2,1,1,1,5,2,2,4,4,4,3,4,4,1,1,1,5,3,5,5,1,1,1,1,5,5,1,1,1,5,5,5,5,5,3,1,1,1,1,1,3,5,5,5,5,5,5,5,5,5,0,3,3,2,4,5,3,4,1,4,4,2,4,4,2,4,4,4,4,0,0,0,0,0,0,0,0,,,0,3,3,3,3,3,3,3,3,3,4,2,2,3,3,3,4,4,4,4,4,4,4,3,3,3,2,3,3,3,2,2,3
385,37.75070800000,-81.14147200000,25813,Beaver,Raleigh,At_Risk,654,79838.3,6,5,3,5,1,2,3,3,1,5,2,3,4,5,4,4,2,2,1,5,3,3,3,4,3,4,4,3,3,4,4,5,3,4,4,1,1,5,5,3,3,2,3,1,5,3,5,5,1,5,3,5,3,2,2,2,4,1,4,1,1,5,1,5,5,1,5,3,5,0,5,4,3,3,3,3,3,3,2,2,1,1,5,1,5,3,5,5,3,5,5,5,3,2,2,1,5,2,1,2,1,1,1,1,5,5,5,5,5,5,5,5,3,1,3
