Survey_ID,Lat,Long,Zip,City,County,Status,elevation,dist_to_spill,Q37_EDU,Q40_INCOME,Q1_Overall,Q2_a,Q2_b,Q2_c,Q2_d,Q2_e,Q2_f,Q2_g,Q2_h,Q2_i,Q2_j,Q2_k,Q3,Q4,Q10_a,Q10_b,Q10_c,Q10_d,Q10_e,Q11_a,Q11_b,Q11_c,Q11_d,Q11_e,Q11_f,Q11_g,Q11_h,Q11_i,Q11_j,Q11_k,Q12_a,Q12_b,Q12_c,Q12_d,Q12_e,Q13_a,Q13_b,Q13_c,Q13_d,Q13_e,Q13_f,Q13_g,Q14_a,Q14_b,Q14_c,Q14_d,Q14_e,Q14_f,Q14_g,Q14_h,Q14_i,Q15_a,Q15_b,Q15_c,Q16_a,Q16_b,Q16_c,Q16_d,Q16_e,Q16_f,Q16_g,Q16_h,Q16_i,Q16_j,Q16_k,Q16_l,Q16_m,Q16_n,Q16_o,Q16_p,Q17_a,Q17_b,Q17_c,Q17_d,Q17_e,Q17_f,Q17_g,Q17_h,Q17_i,Q17_j,Q17_k,Q19_a,Q19_b,Q19_c,Q19_d,Q19_e,Q19_f,Q19_g,Q19_h,Q19_i,Q20_a,Q20_b,Q20_c,Q20_d,Q20_e,Q21,Q22_a,Q22_b,Q22_c,Q22_d,Q22_e,Q22_f,Q23,Q24,Q25,Q26_a,Q26_b,Q26_c,Q26_d,Q26_e,Q26_f,Q26_g,Q26_h
355,37.81640625000,-81.23290252690,25801,Beckley,Raleigh,At_Risk,675,69537.1,6,2,3,4,1,3,4,4,2,5,3,2,4,5,3,4,4,1,3,4,4,3,3,1,1,3,3,3,3,4,3,4,2,2,2,3,1,5,2,2,2,4,4,1,4,3,4,4,3,4,4,4,4,2,2,2,4,4,3,2,4,4,4,4,2,3,4,4,4,4,2,3,2,2,2,2,2,2,2,3,,,0,2,2,2,2,2,2,2,2,2,4,2,4,2,4,2,4,3,3,3,3,3,4,4,4,2,4,4,4,4,0,5,2
356,37.81640625000,-81.23290252690,25801,Beckley,Raleigh,At_Risk,675,69537.1,4,1,3,4,2,3,4,4,2,3,3,2,3,3,4,3,3,3,4,4,1,4,0,2,2,2,3,4,4,2,3,3,4,4,5,5,5,2,4,3,3,4,3,5,5,4,4,3,2,4,4,4,3,2,2,1,4,4,4,2,2,2,2,2,2,2,4,2,4,4,4,4,3,3,3,3,3,3,2,4,,,0,3,3,2,4,2,2,2,3,3,4,2,4,2,4,2,2,2,2,2,2,2,4,4,4,3,4,4,4,4,4,4,4
357,37.81640625000,-81.23290252690,25801,Beckley,Raleigh,At_Risk,675,69537.1,4,3,3,4,2,2,4,4,1,4,1,2,5,5,4,5,1,3,1,4,2,4,4,2,2,3,2,4,4,2,1,2,4,4,5,4,5,3,2,2,1,4,4,3,5,4,4,4,3,5,3,4,3,0,0,0,3,4,4,2,2,4,3,4,3,2,4,4,4,4,3,3,2,2,1,1,2,1,3,4,,,0,2,2,2,2,2,2,2,3,3,4,2,4,2,2,2,2,2,2,2,2,2,4,5,5,5,5,5,5,5,5,3,4
358,37.81640625000,-81.23290250000,25801,Beckley,Raleigh,At_Risk,675,69537.1,0,0,3,4,1,2,4,4,1,3,1,3,5,3,5,5,0,5,3,4,3,3,3,2,2,4,3,3,3,4,4,4,4,4,5,5,5,3,2,2,2,4,4,3,4,4,4,4,4,4,4,4,4,0,0,1,4,2,4,2,2,4,2,4,2,2,4,4,4,2,4,2,2,2,2,4,2,2,2,4,,,0,3,3,3,3,4,2,4,3,3,3,2,4,2,4,2,4,2,3,3,2,1,4,4,4,5,5,5,5,5,5,5,5
359,37.86520385740,-81.19680023190,25801,Beckley,Raleigh,At_Risk,722,66465.9,4,3,3,2,4,3,2,2,2,4,2,3,3,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,4,4,4,2,2,3,3,3,3,3,4,4,2,2,3,3,4,4,3,3,3,2,4,2,1,1,1,4,2,3,2,2,4,2,4,2,3,3,3,4,2,4,3,4,2,3,2,2,2,2,3,,,0,2,3,2,4,3,2,3,3,3,3,4,2,4,2,1,2,4,3,4,4,4,3,2,1,0,0,0,0,0,0,0,0
360,37.75825100000,-81.19902100000,25801,Beckley,Raleigh,At_Risk,727,76635.5,3,3,4,3,3,3,3,3,3,5,3,3,4,5,4,4,1,2,2,5,4,4,4,4,3,5,3,4,3,3,2,3,2,2,3,1,1,5,5,3,3,4,3,1,4,3,5,2,4,5,3,5,3,2,1,2,4,4,3,1,5,5,5,3,3,3,3,3,5,5,3,4,3,3,3,3,3,3,1,3,2,3,3,4,3,4,4,3,3,4,4,4,2,4,3,4,3,2,5,4,4,3,2,2,3,2,2,0,3,3,5,4,2,3,3
361,37.75852300000,-81.18379900000,25801,Beckley,Raleigh,At_Risk,717,77241.7,5,2,4,4,4,3,3,3,2,2,2,2,3,2,3,2,1,4,2,4,4,1,1,2,2,4,4,1,5,4,4,4,3,2,1,1,1,5,5,3,3,1,0,1,4,1,4,4,1,5,2,5,3,2,2,3,2,4,4,2,4,0,1,4,2,3,2,2,2,0,4,3,4,3,3,3,3,3,3,2,2,2,3,3,3,4,5,4,3,5,5,4,3,2,4,3,3,3,3,4,4,4,3,3,4,4,3,4,4,4,3,3,2,2,2
362,37.76612200000,-81.19011200000,25801,Beckley,Raleigh,At_Risk,717,76235.3,6,6,4,4,2,3,3,3,2,4,3,3,5,4,3,3,5,0,3,4,4,0,3,3,4,3,3,3,2,3,3,3,4,4,4,2,3,5,5,2,3,3,4,2,4,4,4,4,2,5,5,5,3,1,2,2,4,2,2,1,1,5,1,5,1,2,3,4,4,0,2,4,2,2,2,3,2,2,2,2,1,1,2,3,2,2,5,3,2,3,3,3,4,3,4,2,5,2,2,2,2,1,1,1,4,4,5,5,4,5,4,2,3,4,4
363,37.77616300000,-81.17259600000,25801,Beckley,Raleigh,At_Risk,727,76016.9,3,6,4,2,4,4,2,2,3,5,4,1,2,5,4,4,1,4,0,3,4,3,3,4,5,5,4,1,5,5,4,4,2,2,2,2,2,5,5,4,4,1,2,5,2,1,3,3,1,3,1,3,1,2,2,2,4,2,4,2,2,5,1,4,3,3,3,4,4,1,5,3,4,3,4,4,3,4,3,3,1,2,3,3,3,3,4,3,3,4,3,4,1,4,1,4,2,1,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1
364,37.77684200000,-81.20799300000,25801,Beckley,Raleigh,At_Risk,719,74442.5,6,4,4,3,3,3,1,1,2,4,3,2,3,3,4,3,1,5,1,4,4,3,3,2,2,4,3,3,3,4,4,4,2,2,2,2,2,4,3,3,3,2,3,4,5,1,5,4,2,4,3,5,3,0,2,2,4,1,5,1,1,5,1,5,1,2,5,4,4,1,5,1,4,2,3,3,3,3,3,3,1,1,5,3,4,4,4,4,3,4,4,3,3,3,3,3,3,2,5,4,3,3,3,3,4,3,3,1,1,3,3,2,2,2,2
365,37.81640625000,-81.23290252690,25801,Beckley,Raleigh,At_Risk,675,69537.1,5,4,4,4,2,2,4,4,2,4,2,4,4,4,5,4,3,5,4,4,2,5,5,5,5,4,4,2,5,5,1,1,4,5,5,2,4,1,2,1,1,5,4,2,5,4,5,4,3,5,4,4,5,1,1,1,4,4,4,2,4,4,4,4,3,2,3,4,5,5,4,3,1,1,1,1,1,1,1,1,,,0,1,4,1,2,4,1,4,4,3,4,2,4,2,4,2,4,2,4,4,3,2,4,4,5,4,4,4,5,5,4,4,4
366,37.81640625000,-81.23290252690,25801,Beckley,Raleigh,At_Risk,675,69537.1,5,4,4,2,3,4,2,2,4,5,5,1,1,5,4,3,5,4,4,3,3,1,1,4,5,5,5,1,1,5,5,5,2,4,4,1,2,5,5,5,5,1,1,1,2,2,4,2,1,1,1,4,1,1,1,1,3,3,3,3,3,5,1,5,1,5,4,4,4,3,4,1,5,2,3,2,2,2,2,4,,,0,3,4,4,4,4,3,4,4,4,1,4,2,4,2,1,4,4,4,4,3,4,2,1,1,0,0,0,0,0,0,0,0
367,37.81640625000,-81.23290252690,25801,Beckley,Raleigh,At_Risk,675,69537.1,5,2,4,3,3,3,3,3,3,3,3,3,3,3,4,4,1,5,1,3,4,4,4,2,2,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,5,5,5,1,2,5,2,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,,,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,1,3,3,5,3,1,1,1,0,0,0,0,0,0,0,0
368,37.81640625000,-81.23290252690,25801,Beckley,Raleigh,At_Risk,675,69537.1,5,4,4,2,3,4,3,3,2,5,3,2,3,5,4,3,5,1,4,4,3,2,3,4,3,4,3,3,2,4,3,3,4,3,3,2,1,2,4,3,3,3,3,4,2,3,4,4,2,5,2,4,2,2,2,0,3,3,2,2,4,5,3,5,4,4,3,3,3,3,4,3,3,2,2,2,2,2,1,5,,,0,1,2,1,2,2,2,1,2,2,4,2,3,2,4,3,3,3,3,3,3,3,3,4,4,4,4,5,5,4,4,4,3
369,37.81640625000,-81.23290252690,25801,Beckley,Raleigh,At_Risk,675,69537.1,4,4,4,2,2,4,2,2,3,4,3,3,3,4,4,4,2,5,1,5,5,4,4,3,3,4,3,3,4,4,1,1,1,4,4,1,4,4,4,3,3,3,3,2,5,4,5,5,4,4,3,5,3,1,1,1,4,2,5,2,2,4,2,4,2,3,4,4,3,2,4,4,2,2,4,4,4,2,1,4,,,0,4,4,2,4,4,4,4,4,3,4,2,4,2,3,2,4,4,4,4,2,2,4,4,4,4,4,4,4,3,2,4,4
370,37.81640630000,-81.23290252690,25801,Beckley,Raleigh,At_Risk,675,69537.1,6,3,4,4,4,4,2,2,2,5,2,2,2,5,3,3,3,5,4,5,2,2,2,4,4,4,4,2,2,4,4,4,4,2,2,2,2,4,4,4,2,2,2,1,5,2,4,4,2,2,5,0,2,2,2,1,4,2,2,2,4,2,2,4,2,4,3,3,4,3,4,3,4,4,2,3,4,3,3,5,,,0,4,4,4,4,4,4,4,4,4,4,2,4,1,5,2,4,2,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5
371,37.81640625000,-81.23290250000,25801,Beckley,Raleigh,At_Risk,675,69537.1,0,0,4,3,2,2,4,4,2,2,2,4,4,2,5,2,1,2,1,5,1,5,5,1,1,3,1,5,5,1,1,1,5,5,5,4,5,3,4,1,2,4,4,3,4,4,5,5,5,5,4,5,4,1,1,1,4,2,5,4,1,4,2,1,2,1,5,5,4,1,5,5,1,1,1,1,1,1,1,5,,,0,2,2,1,4,3,3,4,4,4,4,2,4,2,1,2,4,4,3,5,3,2,4,4,4,0,0,0,0,0,0,0,0
372,37.81640625000,-81.23290250000,25801,Beckley,Raleigh,At_Risk,675,69537.1,6,0,4,2,3,4,3,3,4,4,4,2,2,4,3,3,4,4,2,3,3,3,2,3,4,4,4,3,2,4,4,4,4,3,3,3,2,5,4,4,3,3,2,1,3,2,4,3,2,4,2,4,2,2,2,2,3,2,3,2,4,5,2,5,2,2,3,4,4,2,4,3,4,0,2,3,2,1,1,2,,,0,2,4,2,4,3,2,4,4,4,2,5,1,4,2,1,4,5,5,5,5,5,2,1,1,0,0,0,0,0,0,0,0
373,37.97610473630,-81.13970184330,25801,Beckley,Raleigh,At_Risk,595,59800.2,5,6,4,2,4,4,2,2,2,4,3,2,3,3,3,3,1,1,2,5,2,4,4,2,2,2,2,4,4,3,3,3,4,4,4,1,3,4,4,3,3,3,3,3,4,4,4,4,2,4,2,4,2,2,2,2,4,2,4,2,4,2,2,4,4,4,2,2,4,2,4,3,2,2,2,2,2,2,2,2,,,0,2,2,3,4,3,2,4,4,4,2,4,2,4,2,1,5,5,4,5,3,3,4,2,1,0,0,0,0,0,0,0,0
374,38.30479431150,-81.75769805910,25801,Beckley,Raleigh,At_Risk,344,14967.4,4,3,4,2,3,4,2,2,2,5,5,1,3,5,4,3,4,1,2,4,1,3,2,5,5,5,5,2,2,5,5,5,1,2,2,1,1,5,5,4,4,1,2,1,5,1,5,4,1,5,3,5,2,2,2,2,4,2,3,1,4,4,3,5,4,4,3,5,5,4,4,3,3,3,2,4,2,2,1,4,,,0,1,4,2,4,4,2,5,5,5,2,4,5,5,4,1,5,5,5,5,4,4,2,1,1,0,0,0,0,0,0,0,0
